city_id,city,pop,age,household,individual,house,rent,COLI
0,"Phenix City, Alabama",36219,32.6,41063,23236,131994,795,83.8
1,"Vestavia Hills, Alabama",34291,40.0,101429,56238,387921,1068,89.3
2,"Apache Junction, Arizona",40538,53.9,48834,24369,174477,806,94.3
3,"Bullhead City, Arizona",40252,53.0,40566,24404,135165,740,87.6
4,"Casa Grande, Arizona",55477,37.3,53312,23080,188388,905,93.6
5,"El Mirage, Arizona",35216,29.4,46385,14818,162100,1212,94.6
6,"Lake Havasu City, Arizona",54411,54.7,48993,30641,190298,856,88.6
7,"Oro Valley, Arizona",44350,52.4,85392,45092,311829,1139,91.3
8,"Prescott Valley, Arizona",44466,45.2,49238,23338,226326,941,92.7
9,"Sierra Vista, Arizona",42912,34.2,62019,31315,194015,927,85.4
10,"Fort Smith, Arkansas",88037,37.2,38294,24700,121900,619,79.4
11,"Hot Springs, Arkansas",36915,41.8,35474,22420,122463,662,81.9
12,"Little Rock, Arkansas",198606,36.2,57534,35418,169900,875,85.1
13,"North Little Rock, Arkansas",65911,34.8,40579,25200,137600,772,85.0
14,"Pine Bluff, Arkansas",42984,34.6,32539,17803,77304,694,79.8
15,"Aliso Viejo, California",51671,37.0,112026,48849,637574,2206,87.5
16,"Apple Valley, California",73077,37.6,55951,26446,249900,1053,80.5
17,"Baldwin Park, California",76402,34.1,67472,20401,416500,1457,137.1
18,"Bell Gardens, California",42747,28.9,41560,12774,412375,1222,143.8
19,"Beverly Hills, California",34484,44.1,110481,88186,2374749,2159,171.5
20,"Buena Park, California",83015,35.5,65139,24484,570900,1567,88.9
21,"Cathedral City, California",54596,37.9,45622,22986,269187,1217,82.1
22,"Chino Hills, California",80374,37.4,99763,34959,610900,1925,83.3
23,"Chula Vista, California",270471,35.5,77273,30974,497800,1604,135.8
24,"Citrus Heights, California",87931,37.4,58774,30208,302300,1211,101.7
25,"Costa Mesa, California",113825,34.6,78904,37267,744900,1798,89.9
26,"Culver City, California",39283,41.6,92687,51858,873432,1864,150.5
27,"Daly City, California",107074,37.9,90888,32250,786200,2152,167.5
28,"Dana Point, California",33934,49.0,95127,58812,912947,2047,90.0
29,"Diamond Bar, California",56665,43.3,100714,38328,729997,2052,139.7
30,"El Cajon, California",103894,32.8,50312,24167,458100,1232,139.8
31,"El Centro, California",44364,33.0,45948,20150,206804,788,93.5
32,"El Monte, California",116109,34.8,51730,17157,442100,1224,140.5
33,"Foster City, California",34412,40.7,150562,70504,1245006,3163,170.2
34,"Fountain Valley, California",56313,44.3,91221,38254,716189,1932,88.5
35,"Garden Grove, California",174226,39.6,66842,24973,558800,1426,88.6
36,"Huntington Beach, California",201874,42.8,87120,45709,738600,1823,89.0
37,"Huntington Park, California",58822,30.7,40599,14110,424486,1044,143.9
38,"Laguna Hills, California",31318,41.8,105120,47798,711372,2010,87.6
39,"Laguna Niguel, California",66334,48.8,102386,56073,809500,2260,88.9
40,"La Habra, California",62466,35.1,76028,29947,518118,1487,87.5
41,"Lake Elsinore, California",66411,28.9,67988,19860,347000,1356,81.5
42,"Lake Forest, California",84293,38.9,99913,43815,626900,1920,87.4
43,"La Mesa, California",60021,37.1,64376,34179,529965,1497,140.6
44,"La Mirada, California",49095,39.8,93117,32591,568040,1720,138.1
45,"La Puente, California",40322,33.3,63945,18152,432560,1309,136.7
46,"La Verne, California",32461,44.0,88247,40158,636314,1500,137.1
47,"Long Beach, California",469450,35.3,60557,32006,557700,1278,142.8
48,"Los Angeles, California",3999759,35.8,60197,33496,647000,1397,145.8
49,"Los Banos, California",39183,31.4,48411,21315,293139,1196,95.4
50,"Manhattan Beach, California",35924,44.4,158639,94579,2012480,2537,156.1
51,"Menlo Park, California",34357,37.6,146748,83465,2090331,2417,185.6
52,"Mission Viejo, California",96016,44.7,102787,45452,694600,2199,87.9
53,"Monterey Park, California",61044,45.4,58722,28420,672885,1352,148.1
54,"Moreno Valley, California",207226,30.5,62198,20056,305900,1443,81.7
55,"Morgan Hill, California",45037,38.5,119481,50573,854571,1937,150.7
56,"Mountain View, California",81438,34.5,135115,74240,1461400,2353,170.8
57,"National City, California",61363,32.9,46604,20338,401601,1182,140.3
58,"Newport Beach, California",86160,49.6,127104,97774,1902000,2103,94.3
59,"Palm Desert, California",52932,53.3,59165,42635,380267,1254,82.8
60,"Palm Springs, California",48142,55.0,50609,41740,394514,1055,83.7
61,"Palo Alto, California",67178,39.8,153802,90597,2000001,2673,176.9
62,"Pico Rivera, California",63522,36.9,65614,22161,451440,1335,137.8
63,"Pleasant Hill, California",34987,39.8,109430,53521,778926,2048,151.2
64,"Rancho Cordova, California",73563,36.1,64088,32166,304400,1200,101.1
65,"Rancho Cucamonga, California",177452,34.6,90034,32407,488000,1773,82.7
66,"Rancho Palos Verdes, California",42364,50.2,132699,64210,1247930,2535,148.0
67,"Rancho Santa Margarita, California",48793,37.4,112643,49031,677977,1911,87.0
68,"Redondo Beach, California",67908,41.1,104715,60576,907400,1972,145.0
69,"Redwood City, California",86685,38.4,116966,58060,1196500,2327,173.8
70,"Rohnert Park, California",42838,33.9,70326,31058,461782,1698,143.5
71,"San Bernardino, California",216995,31.7,46510,17895,245900,1038,81.6
72,"San Bruno, California",43299,39.6,104551,45051,894012,2288,168.9
73,"San Diego, California",1419516,34.5,76662,39325,600300,1642,140.1
74,"San Dimas, California",34326,42.4,86556,37316,609479,1707,137.4
75,"San Francisco, California",884363,38.3,110816,64597,1104100,1836,173.6
76,"San Gabriel, California",40514,41.7,59598,26568,746027,1413,151.1
77,"San Jacinto, California",48254,33.1,50503,18791,217991,1160,80.5
78,"San Jose, California",1035317,36.8,104675,43593,854700,2109,156.4
79,"San Leandro, California",90553,43.5,64923,34315,597000,1591,153.8
80,"San Luis Obispo, California",47541,26.9,53117,31508,678983,1484,115.0
81,"San Marcos, California",96198,35.3,76272,33696,525200,1523,135.6
82,"San Mateo, California",104748,38.7,108058,58957,1093900,2480,175.0
83,"San Rafael, California",59070,41.8,93486,54979,911239,1931,165.8
84,"San Ramon, California",75931,38.8,161870,60315,957800,2296,147.6
85,"Santa Ana, California",334136,32.0,65655,20326,494700,1496,88.2
86,"Santa Barbara, California",92101,39.1,79740,50377,1037400,1751,124.6
87,"Santa Clara, California",127134,34.3,115375,47824,1001100,2298,162.3
88,"Santa Clarita, California",210888,37.0,90961,36859,536700,1825,135.2
89,"Santa Cruz, California",65021,30.9,71442,39349,860600,1780,173.3
90,"Santa Maria, California",107014,30.0,60320,20202,350200,1331,110.8
91,"Santa Monica, California",92306,41.1,90088,74720,1237500,1743,158.7
92,"Santa Rosa, California",175269,38.5,75356,36589,568200,1540,145.7
93,"Simi Valley, California",126878,39.7,90200,36807,602800,1944,93.0
94,"South Gate, California",95430,31.6,50355,17017,420800,1111,141.3
95,"South San Francisco, California",67429,40.7,94459,38514,873000,1974,167.4
96,"Temple City, California",36367,43.7,74422,29983,784854,1482,147.5
97,"Thousand Oaks, California",128995,43.6,100338,51735,728700,2007,93.5
98,"Union City, California",75343,40.9,117526,41652,805100,2050,151.7
99,"Walnut Creek, California",69773,48.2,100180,63790,814600,2110,153.4
100,"West Covina, California",107598,37.0,81170,30813,559200,1629,138.2
101,"West Hollywood, California",37080,40.3,70805,67645,812401,1580,154.9
102,"West Sacramento, California",53512,33.7,63558,29468,353559,987,100.8
103,"Yorba Linda, California",68229,44.6,132952,58299,913700,2275,87.8
104,"Yuba City, California",66860,34.5,51497,23421,274800,1014,93.5
105,"Castle Rock, Colorado",62276,35.6,86221,38234,363713,1461,109.5
106,"Colorado Springs, Colorado",464474,34.7,59514,31585,265400,1093,98.3
107,"Commerce City, Colorado",55923,31.3,47340,18723,238537,1255,109.8
